country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,12.6M,14.1M,14.6M,16.3M,19.6M,19.5M,20.5M,22.1M,23.3M,22.8M,23.3M,24.6M,26.4M,28.7M,31M,31.6M,34M,35.4M,37.2M,39.9M,43.3M,45.5M,47M,51.5M,55.8M,57.9M,58.8M,61.9M,62.5M,67.2M,75M,80.8M,86.2M,92.3M,101M,106M,107M,114M,117M,120M,123M,129M,139M,146M,154M,157M,164M,175M,176M,182M,197M,218M,226M,235M,242M
Ireland,2.42M,2.7M,3.02M,3.36M,3.65M,4.1M,4.53M,4.98M,5.4M,5.35M,5.23M,5.3M,5.66M,6.04M,6.35M,5.72M,5.06M,4.41M,4.01M,3.94M,3.93M,4.87M,4.26M,3.85M,3.96M,4.41M,4.85M,5.07M,5.14M,5.61M,5.71M,6.01M,6.58M,7.36M,8.34M,8.28M,8.97M,8.79M,8.55M,8.85M,9.31M,9.27M,9.39M,8.96M,7.95M,7.52M,6.93M,6.63M,6.66M,6.61M,6.9M,7.2M,7.15M,7.44M,7.48M
Iran,7.11M,7.77M,8.57M,9.44M,10.3M,11.1M,12.1M,13.5M,16.2M,18.7M,21.8M,24.7M,28.7M,28.8M,30.2M,27.9M,27.7M,30.2M,36.7M,39.7M,43.6M,40.3M,42M,44.3M,47.5M,49.3M,52.3M,55.6M,60.4M,62.8M,62.9M,65.5M,67.6M,65M,65.5M,67.7M,68.1M,68.4M,69.2M,71.2M,78.6M,85.7M,87.9M,92M,91M,82.5M,84.2M,86M,93.9M,87.2M,77.1M,79.2M,79.5M,80.6M,89.4M
Iraq,1.32M,1.43M,1.55M,1.68M,1.81M,2.44M,2.61M,3.24M,3.14M,3.1M,3.08M,3.84M,4.49M,4.21M,5.07M,6.76M,7.25M,7.54M,8.62M,9.4M,11M,11.8M,12.2M,13.3M,14.9M,14.8M,11M,17.5M,24.6M,28.2M,27.4M,28.6M,34.5M,22.9M,16.4M,21.9M,25.3M,23.8M,22.6M,24.4M,22.9M,23.6M,22.6M,22.4M,25.6M,27.3M,30M,32M,34.4M,32.8M,33.2M,37.1M,35.1M,34.3M,34.8M
Iceland,469k,506k,490k,523k,479k,489k,533k,571k,661k,618k,579k,582k,609k,642k,625k,583k,569k,519k,504k,526k,522k,530k,572k,598k,639k,652k,612k,661k,686k,695k,699k,780k,766k,784k,781k,796k,748k,778k,785k,821k,839k,853k,853k,790k,732k,701k,691k,684k,716k,755k,817k,897k,1M,1.07M,934k
Israel,3.88M,4.04M,4.22M,4.4M,4.58M,4.78M,4.99M,5.21M,5.51M,5.62M,5.79M,6.12M,6.4M,6.82M,7.48M,8.01M,8.15M,7.89M,7.44M,6.92M,6.51M,6.75M,7.56M,8.35M,8.57M,8.88M,9.11M,9.58M,9.95M,11M,12.4M,12.4M,11.7M,12.4M,13.2M,13.5M,12.5M,12.4M,12.6M,11.8M,12.2M,11.7M,12.3M,12M,10.8M,11.2M,11.8M,13.9M,10.3M,9.74M,10.4M,10.6M,11.6M,11.4M,11.6M
Italy,52.3M,57.7M,63.7M,70.3M,77.3M,87.3M,93.8M,98.2M,104M,101M,94.5M,98.8M,96.1M,99.8M,103M,97.9M,95.7M,90.7M,89.2M,84.9M,84.4M,86.5M,90.1M,91.7M,93.8M,93.6M,92.4M,94.5M,92.6M,92.5M,95.5M,94.2M,94.6M,94.7M,94.4M,93.5M,92.8M,92.9M,92.1M,89.4M,86.5M,86.5M,83.8M,79.6M,73.8M,71.5M,69M,64.5M,58.7M,55.6M,57.9M,58.3M,58.6M,60.1M,57.6M
Japan,87.9M,100M,123M,143M,169M,199M,220M,234M,269M,259M,244M,254M,260M,267M,269M,241M,228M,212M,211M,222M,210M,212M,213M,229M,238M,246M,250M,256M,250M,265M,269M,271M,267M,256M,261M,257M,249M,244M,250M,244M,247M,238M,231M,225M,200M,202M,203M,217M,207M,197M,189M,183M,180M,176M,174M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,20.7M,18.9M,18.2M,18.3M,18.7M,21.5M,21.7M,20.3M,15.7M,12.3M,12M,10.2M,10.2M,8.51M,7.01M,7.69M,7.71M,7.92M,8.64M,9.03M,9.22M,9.94M,10.9M,11.3M,9.33M,9.83M,11.5M,11.5M,12.1M,12.1M,13.5M,13.9M,14.4M,15.3M,15.8M
South Korea,1.29M,1.93M,3.34M,4.94M,6.71M,8.38M,9.46M,9.88M,12.2M,12.6M,14.2M,15.9M,19M,21.7M,24.4M,24.1M,23.9M,23.7M,24.7M,24.8M,26.1M,28.4M,29.8M,35.6M,41M,49.5M,59.9M,72.3M,79.3M,87M,94.8M,101M,111M,93.9M,101M,104M,104M,105M,106M,105M,105M,105M,108M,103M,104M,105M,106M,109M,108M,108M,114M,123M,123M,122M,120M
