,country,f_0-14,f_0-4,f_15-24,f_15plus,f_18plus,f_25-34,f_35-44,f_45-54,f_5-14,f_55-64,f_65plus,f_all,m_0-14,m_0-4,m_15-24,m_15plus,m_18plus,m_25-34,m_35-44,m_45-54,m_5-14,m_55-64,m_65plus,m_all
32,CA,58,30,150,1060,23,190,150,110,28,99,230,980,74,27,160,1517,32,220,170,170,47,140,320,1200
33,CD,18000,6800,20000,106800,3600,22000,21000,18000,11000,13000,9600,122000,19000,8200,24000,172000,4900,32000,31000,25000,11000,18000,13000,163000
34,CF,1800,830,1700,8910,380,2000,1800,1300,1000,900,940,10000,2000,1000,2600,16100,600,3300,2900,2200,980,1400,1100,16000
35,CG,1200,550,1300,7429,300,1500,1700,1300,650,810,760,8500,1300,660,1800,13480,450,2400,2700,2100,630,1200,880,12000
36,CH,9,6,22,199,2,40,44,22,3,10,28,170,9,3,39,307,5,44,39,40,6,28,30,230
37,CI,1800,830,2200,13268,410,2900,2700,1800,950,1200,1000,14000,1900,990,3300,28100,750,4800,4700,3200,930,2300,1800,22000
38,CK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CL,52,16,140,1223,52,220,160,150,36,130,190,1000,39,18,180,2400,83,370,290,290,21,270,290,1700
40,CM,2400,1200,2700,16930,590,3700,3600,2400,1200,1600,1600,18000,2600,1400,4200,34000,870,6300,6100,4100,1200,2700,2300,28000
41,CN,19000,8400,43000,256500,8600,45000,29000,37000,10000,36000,62000,272000,20000,10000,68000,738000,24000,74000,58000,102000,10000,105000,144000,571000
42,CO,470,210,1100,7190,280,1300,980,820,250,870,1300,6900,500,260,1700,13940,460,2600,1700,1500,250,1500,2300,12000
43,CR,8,3,13,165,6,33,20,25,5,17,47,160,10,4,40,450,14,82,61,65,7,47,60,370
44,CU,7,2,22,171,7,36,30,21,5,21,29,170,4,2,25,733,18,79,110,170,1,100,67,550
45,CV,4,3,17,70,2,20,11,6,1,7,6,72,2,1,19,168,6,22,38,41,1,12,13,150
46,CW,0,0,0,7,,4,0,1,0,1,0,7,0,0,0,6,,1,1,1,0,1,0,6
47,CY,2,2,6,34,0,9,6,3,0,2,2,32,0,0,6,51,1,9,12,4,0,4,2,38
48,CZ,1,1,8,150,3,29,15,18,0,13,43,130,1,0,10,415,14,34,61,59,1,56,66,290
49,DE,92,45,260,1890,35,390,240,150,47,140,370,1600,96,52,530,3930,92,670,420,340,44,360,550,3000
50,DJ,88,38,140,834,32,130,160,140,50,110,160,920,95,46,210,1239,51,220,230,200,49,150,190,1300
51,DK,2,2,8,117,1,30,28,21,0,11,4,100,15,4,22,201,3,30,30,36,11,25,19,180
52,DM,0,0,0,15,0,3,0,7,0,3,0,14,0,0,0,23,0,7,3,0,0,3,7,20
53,DO,120,56,250,1695,86,370,300,250,67,180,170,1600,130,68,310,3370,110,670,620,480,66,330,300,2800
54,DZ,920,480,840,8949,570,1800,2200,1600,440,1200,1400,9900,1000,580,1300,17630,900,3100,3800,2700,430,2000,2200,16000
55,EC,270,130,430,2500,100,500,380,320,140,300,370,2600,290,150,1200,6600,210,1500,1000,660,140,560,630,5900
56,EE,1,0,0,40,1,2,5,7,1,5,16,36,0,0,3,148,3,10,8,28,0,25,28,100
57,EG,490,220,800,4231,410,750,710,590,270,550,790,4700,530,260,940,7760,470,1500,1200,920,270,810,880,6800
58,ER,180,81,160,1011,28,210,200,150,100,130,150,1200,200,98,250,1737,48,340,290,230,98,180,210,1700
59,ES,92,36,130,1428,44,220,250,200,56,100,260,1300,120,41,200,2500,100,300,360,390,83,280,480,2100
60,ET,8100,3000,19000,61030,1600,14000,10000,7500,5100,5100,3800,68000,8600,3600,24000,84300,2300,17000,13000,9100,5000,6200,5000,83000
61,FI,2,0,2,95,1,13,10,6,2,8,43,84,3,2,9,141,2,12,9,7,1,20,56,120
62,FJ,72,22,32,187,14,40,29,21,50,31,22,250,85,31,50,351,18,65,44,46,54,26,31,350
63,FM,6,0,12,30,2,3,6,5,6,4,0,35,2,0,11,57,4,7,9,11,2,8,3,51
64,FR,140,69,340,2290,37,420,320,230,67,210,350,2000,150,83,630,4330,110,780,540,390,65,320,510,3300
65,GA,740,400,470,3900,210,910,900,620,350,410,430,4500,820,480,780,7900,330,1500,1700,1200,340,660,570,7200
66,GB,86,32,230,2260,46,430,400,290,54,200,290,1900,87,32,340,3610,87,590,580,450,55,330,390,2800
67,GD,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
68,GE,71,28,150,938,53,240,140,100,43,110,160,960,76,34,220,2510,110,320,340,360,42,340,190,1800
69,GH,3200,1600,2400,16441,580,3100,3400,2700,1600,2200,1700,19000,3500,2000,3500,26530,770,4700,5000,3900,1500,3000,2100,26000
70,GL,2,1,15,33,,3,5,7,1,2,1,36,3,0,5,46,,13,3,5,3,9,12,49
71,GM,190,83,180,906,39,200,210,150,100,87,74,1100,200,100,540,2980,120,560,560,380,100,240,200,2700
72,GN,1100,470,1800,8400,280,2000,1600,1200,630,910,840,9500,1200,570,2500,13430,450,3400,2700,1900,620,1300,1100,14000
73,GQ,210,100,220,1367,66,370,310,170,100,120,110,1500,230,130,300,2670,100,730,610,280,100,160,120,2400
74,GR,10,4,13,132,3,25,10,15,5,9,37,120,8,3,87,465,10,66,48,36,4,35,74,350
75,GT,250,120,310,1960,97,370,340,280,130,260,200,2000,270,140,520,3100,120,600,500,390,130,320,310,2900
76,GU,0,0,1,14,,1,3,1,0,5,2,14,0,0,2,52,,12,6,9,0,13,10,52
77,GW,450,230,410,2306,90,540,550,330,220,240,240,2800,490,280,700,3990,150,960,960,560,220,360,290,4300
78,GY,5,0,42,162,8,15,20,34,5,24,14,150,3,0,110,596,19,44,110,120,3,63,20,470
79,HK,9,1,100,1600,,250,260,210,8,240,520,1600,8,2,92,2600,,150,190,270,6,540,1400,2600
80,HN,85,41,180,1085,51,200,160,160,44,150,180,1100,92,49,340,2130,73,420,290,240,43,210,280,1900
81,HR,1,0,4,132,3,12,16,8,1,16,50,110,0,0,11,223,6,13,22,28,0,47,45,170
